common_name	genome_name	species_name	genome_url	bsgenome	refseq_accession	refseq_url	buffer_col
Arabian camel 	mCamDro1.pat	Camelus dromedarius	https://hgdownload.soe.ucsc.edu/hubs/GCF/036/321/535/GCF_036321535.1/GCF_036321535.1.fa.gz		GCF_036321535.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_036321535.1/	
Papuan ground boa 	rCanAsp1.hap2	Candoia aspera	https://hgdownload.soe.ucsc.edu/hubs/GCF/035/149/785/GCF_035149785.1/GCF_035149785.1.fa.gz		GCF_035149785.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_035149785.1/	
gray wolf 	mCanLor1.2	Canis lupus	https://hgdownload.soe.ucsc.edu/hubs/GCA/905/319/855/GCA_905319855.2/GCA_905319855.2.fa.gz		GCA_905319855.2	https://www.ncbi.nlm.nih.gov/assembly/GCA_905319855.2/	
dog 	UU_Cfam_GSD_1.0	Canis lupus familiaris	https://hgdownload.soe.ucsc.edu/hubs/GCF/011/100/685/GCF_011100685.1/GCF_011100685.1.fa.gz		GCF_011100685.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_011100685.1/	
Eurasian nightjar 	bCapEur3.1	Caprimulgus europaeus	https://hgdownload.soe.ucsc.edu/hubs/GCA/907/165/065/GCA_907165065.1/GCA_907165065.1.fa.gz		GCA_907165065.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_907165065.1/	
crucian carp 	fCarCar2.1	Carassius carassius	https://hgdownload.soe.ucsc.edu/hubs/GCF/963/082/965/GCF_963082965.1/GCF_963082965.1.fa.gz		GCF_963082965.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_963082965.1/	
great white shark 	sCarCar2.pri	Carcharodon carcharias	https://hgdownload.soe.ucsc.edu/hubs/GCF/017/639/515/GCF_017639515.1/GCF_017639515.1.fa.gz		GCF_017639515.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_017639515.1/	
pitted-shelled turtle 	ASM3395843v1	Carettochelys insculpta	https://hgdownload.soe.ucsc.edu/hubs/GCA/033/958/435/GCA_033958435.1/GCA_033958435.1.fa.gz		GCA_033958435.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_033958435.1/	
red-legged seriema 	bCarCri1.pri	Cariama cristata	https://hgdownload.soe.ucsc.edu/hubs/GCA/009/819/825/GCA_009819825.1/GCA_009819825.1.fa.gz		GCA_009819825.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_009819825.1/	
Swainson's thrush 	bCatUst1.pri.v2	Catharus ustulatus	https://hgdownload.soe.ucsc.edu/hubs/GCF/009/819/885/GCF_009819885.2/GCF_009819885.2.fa.gz		GCF_009819885.2	https://www.ncbi.nlm.nih.gov/assembly/GCF_009819885.2/	
red deer 	mCerEla1.1	Cervus elaphus	https://hgdownload.soe.ucsc.edu/hubs/GCF/910/594/005/GCF_910594005.1/GCF_910594005.1.fa.gz		GCF_910594005.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_910594005.1/	
basking shark 	sCetMax3.hap1.1	Cetorhinus maximus	https://hgdownload.soe.ucsc.edu/hubs/GCA/964/194/155/GCA_964194155.1/GCA_964194155.1.fa.gz		GCA_964194155.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_964194155.1/	
chevron butterflyfish 	fChaTrf1.hap1	Chaetodon trifascialis	https://hgdownload.soe.ucsc.edu/hubs/GCA/039/877/785/GCA_039877785.1/GCA_039877785.1.fa.gz		GCA_039877785.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_039877785.1/	
milkfish 	fChaCha1.1	Chanos chanos	https://hgdownload.soe.ucsc.edu/hubs/GCF/902/362/185/GCF_902362185.1/GCF_902362185.1.fa.gz		GCF_902362185.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_902362185.1/	
copperband butterflyfish 	fCheRos1.pri	Chelmon rostratus	https://hgdownload.soe.ucsc.edu/hubs/GCF/017/976/325/GCF_017976325.1/GCF_017976325.1.fa.gz		GCF_017976325.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_017976325.1/	
thicklip grey mullet 	fCheLab1.1	Chelon labrosus	https://hgdownload.soe.ucsc.edu/hubs/GCA/963/514/085/GCA_963514085.1/GCA_963514085.1.fa.gz		GCA_963514085.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_963514085.1/	
green sea turtle 	rCheMyd1.pri.v2	Chelonia mydas	https://hgdownload.soe.ucsc.edu/hubs/GCF/015/237/465/GCF_015237465.2/GCF_015237465.2.fa.gz		GCF_015237465.2	https://www.ncbi.nlm.nih.gov/assembly/GCF_015237465.2/	
European snow vole 	mChiNiv1.1	Chionomys nivalis	https://hgdownload.soe.ucsc.edu/hubs/GCF/950/005/125/GCF_950005125.1/GCF_950005125.1.fa.gz		GCF_950005125.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_950005125.1/	
lance-tailed manakin 	bChiLan1.pri	Chiroxiphia lanceolata	https://hgdownload.soe.ucsc.edu/hubs/GCF/009/829/145/GCF_009829145.1/GCF_009829145.1.fa.gz		GCF_009829145.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_009829145.1/	
Macqueen's bustard 	bChlMac1.mat	Chlamydotis macqueenii	https://hgdownload.soe.ucsc.edu/hubs/GCA/036/417/535/GCA_036417535.1/GCA_036417535.1.fa.gz		GCA_036417535.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_036417535.1/	
southern two-toed sloth 	mChoDid1.pri	Choloepus didactylus	https://hgdownload.soe.ucsc.edu/hubs/GCF/015/220/235/GCF_015220235.1/GCF_015220235.1.fa.gz		GCF_015220235.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_015220235.1/	
black-headed gull 	bChrRid1.1	Chroicocephalus ridibundus	https://hgdownload.soe.ucsc.edu/hubs/GCF/963/924/245/GCF_963924245.1/GCF_963924245.1.fa.gz		GCF_963924245.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_963924245.1/	
maguari stork 	bCicMag1.pri	Ciconia maguari	https://hgdownload.soe.ucsc.edu/hubs/GCA/017/639/555/GCA_017639555.1/GCA_017639555.1.fa.gz		GCA_017639555.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_017639555.1/	
